
A T O M   T Y P E S

IDX	TYPE	RING
 6290    425.85106    425.85255
 6300    425.83628    425.83774
 6310    425.82334    425.82442
 6320    425.81321    425.81421
 6330    425.80321    425.80421
 6340    425.79310    425.79411
 6350    425.78289    425.78391
 6360    425.77262    425.77366
 6370    425.76232    425.76335
 6380    425.75189    425.75294
 6390    425.74133    425.74239
 6400    425.73065    425.73172
 6410    425.71987    425.72095
 6420    425.70898    425.71008
 6430    425.69793    425.69904
 6440    425.68667    425.68780
 6450    425.67523    425.67638
 6460    425.66363    425.66480
 6470    425.65189    425.65307
 6480    425.63996    425.64117
 6490    425.62784    425.62907
 6500    425.61551    425.61674
 6510    425.60309    425.60434
 6520    425.59069    425.59192
 6530    425.57821    425.57948
 6540    425.56555    425.56683
 6550    425.55276    425.55404
 6560    425.53981    425.54112
 6570    425.52653    425.52787
 6580    425.51295    425.51432
 6590    425.49907    425.50047
 6600    425.48508    425.48647
 6610    425.47276    425.47380
 6620    425.46308    425.46403
 6630    425.45350    425.45447
 6640    425.44379    425.44477
 6650    425.43394    425.43493
 6660    425.42401    425.42501
 6670    425.41393    425.41494
 6680    425.40376    425.40478
 6690    425.39342    425.39446
 6700    425.38290    425.38396
 6710    425.37219    425.37328
 6720    425.36128    425.36238
 6730    425.35024    425.35135
 6740    425.33903    425.34016
 6750    425.32769    425.32884
 6760    425.31613    425.31730
 6770    425.30436    425.30555
 6780    425.29235    425.29357
 6790    425.28012    425.28135
 6800    425.26770    425.26895
 6810    425.25514    425.25640
 6820    425.24238    425.24367
 6830    425.22943    425.23073
 6840    425.21645    425.21774
 6850    425.20341    425.20473
 6860    425.19027    425.19156
 6870    425.17855    425.17957
 6880    425.16909    425.17001
 6890    425.15988    425.16081
 6900    425.15056    425.15150
 6910    425.14111    425.14206
 6920    425.13155    425.13251
 6930    425.12191    425.12288
 6940    425.11214    425.11312
 6950    425.10220    425.10320
 6960    425.09222    425.09322
 6970    425.08219    425.08320
 6980    425.07201    425.07304
 6990    425.06166    425.06270
 7000    425.05115    425.05221
 7010    425.04057    425.04164
 7020    425.02987    425.03095
 7030    425.01899    425.02009
 7040    425.00791    425.00902
 7050    424.99676    424.99789
 7060    424.98539    424.98654
 7070    424.97385    424.97502
 7080    424.96206    424.96325
 7090    424.95010    424.95130
 7100    424.93796    424.93919
 7110    424.92549    424.92676
 7120    424.91282    424.91409
 7130    424.90073    424.90179
 7140    424.89156    424.89241
 7150    424.88302    424.88387
 7160    424.87437    424.87524
 7170    424.86564    424.86652
 7180    424.85682    424.85771
 7190    424.84794    424.84883
 7200    424.83894    424.83985
 7210    424.82981    424.83073
 7220    424.82053    424.82146
 7230    424.81112    424.81206
 7240    424.80162    424.80258
 7250    424.79195    424.79292
 7260    424.78211    424.78310
 7270    424.77207    424.77309
 7280    424.76192    424.76295
 7290    424.75169    424.75271
 7300    424.74137    424.74241
 7310    424.73087    424.73192
 7320    424.72025    424.72132
 7330    424.70938    424.71048
 7340    424.69829    424.69941
 7350    424.68697    424.68811
 7360    424.67541    424.67659
 7370    424.66355    424.66475
 7380    424.65139    424.65262
 7390    424.63896    424.64021
 7400    424.62737    424.62833
 7410    424.61904    424.61984
 7420    424.61108    424.61189
 7430    424.60305    424.60386
 7440    424.59493    424.59574
 7450    424.58669    424.58752
 7460    424.57834    424.57918
 7470    424.56986    424.57071
 7480    424.56125    424.56212
 7490    424.55251    424.55339
 7500    424.54367    424.54456
 7510    424.53472    424.53562
 7520    424.52563    424.52654
 7530    424.51643    424.51736
 7540    424.50706    424.50801
 7550    424.49754    424.49850
 7560    424.48784    424.48882
 7570    424.47795    424.47894
 7580    424.46801    424.46900
 7590    424.45796    424.45897
 7600    424.44771    424.44874
 7610    424.43732    424.43836
 7620    424.42684    424.42790
 7630    424.41622    424.41729
 7640    424.40544    424.40653
 7650    424.39447    424.39557
 7660    424.38339    424.38451
 7670    424.37201    424.37316
 7680    424.36043    424.36158
 7690    424.35039    424.35121
 7700    424.34278    424.34352
 7710    424.33526    424.33601
 7720    424.32765    424.32841
 7730    424.31996    424.32073
 7740    424.31220    424.31298
 7750    424.30436    424.30515
 7760    424.29639    424.29720
 7770    424.28831    424.28913
 7780    424.28011    424.28093
 7790    424.27181    424.27265
 7800    424.26340    424.26425
 7810    424.25485    424.25571
 7820    424.24616    424.24703
 7830    424.23732    424.23821
 7840    424.22831    424.22922
 7850    424.21913    424.22006
 7860    424.20975    424.21069
 7870    424.20016    424.20113
 7880    424.19035    424.19134
 7890    424.18030    424.18132
 7900    424.17000    424.17104
 7910    424.15943    424.16049
 7920    424.14865    424.14975
 7930    424.13756    424.13869
 7940    424.12614    424.12730
 7950    424.11486    424.11585
 7960    424.10725    424.10793
 7970    424.10042    424.10111
 7980    424.09352    424.09421
 7990    424.08654    424.08724
 8000    424.07948    424.08019
 8010    424.07238    424.07309
 8020    424.06527    424.06599
 8030    424.05808    424.05880
 8040    424.05079    424.05153
 8050    424.04342    424.04416
 8060    424.03597    424.03672
 8070    424.02840    424.02916
 8080    424.02074    424.02151
 8090    424.01295    424.01374
 8100    424.00504    424.00584
 8110    423.99704    423.99785
 8120    423.98892    423.98974
 8130    423.98066    423.98149
 8140    423.97232    423.97316
 8150    423.96391    423.96476
 8160    423.95538    423.95624
 8170    423.94672    423.94759
 8180    423.93791    423.93880
 8190    423.92891    423.92982
 8200    423.91971    423.92064
 8210    423.91038    423.91132
 8220    423.90082    423.90179
 8230    423.89103    423.89202
 8240    423.88101    423.88203
 8250    423.87080    423.87182
 8260    423.86044    423.86148
 8270    423.85101    423.85178
 8280    423.84424    423.84490
 8290    423.83764    423.83830
 8300    423.83096    423.83163
 8310    423.82422    423.82490
 8320    423.81741    423.81809
 8330    423.81050    423.81119
 8340    423.80350    423.80421
 8350    423.79642    423.79713
 8360    423.78923    423.78995
 8370    423.78194    423.78267
 8380    423.77456    423.77531
 8390    423.76707    423.76782
 8400    423.75948    423.76025
 8410    423.75178    423.75256
 8420    423.74394    423.74474
 8430    423.73596    423.73677
 8440    423.72785    423.72867
 8450    423.71960    423.72043
 8460    423.71119    423.71204
 8470    423.70262    423.70348
 8480    423.69384    423.69473
 8490    423.68487    423.68578
 8500    423.67572    423.67665
 8510    423.66634    423.66729
 8520    423.65679    423.65775
 8530    423.64709    423.64807
 8540    423.63720    423.63820
 8550    423.62738    423.62830
 8560    423.62015    423.62077
 8570    423.61402    423.61464
 8580    423.60789    423.60850
 8590    423.60174    423.60236
 8600    423.59553    423.59615
 8610    423.58924    423.58988
 8620    423.58288    423.58352
 8630    423.57646    423.57710
 8640    423.56995    423.57061
 8650    423.56336    423.56403
 8660    423.55671    423.55738
 8670    423.54995    423.55063
 8680    423.54310    423.54379
 8690    423.53614    423.53684
 8700    423.52910    423.52980
 8710    423.52197    423.52269
 8720    423.51473    423.51546
 8730    423.50736    423.50810
 8740    423.49987    423.50062
 8750    423.49227    423.49304
 8760    423.48452    423.48530
 8770    423.47661    423.47741
 8780    423.46853    423.46935
 8790    423.46027    423.46110
 8800    423.45190    423.45275
 8810    423.44337    423.44423
 8820    423.43462    423.43550
 8830    423.42587    423.42670
 8840    423.41882    423.41944
 8850    423.41275    423.41336
 8860    423.40664    423.40726
